Item,Description,Quantity,PartNumber
1,Rod Assembly (includes seals),1,23981541
5,"Washer, Diaphragm",2,93264
77,Plate,1,93122
206,Caution Label,1,93616-1
207,Warning Label,32,23981574
26,Screw FLUID PX01X-HDS Item Description no Qty,1,Part
6,Diaphragm Screw (2),93810,93810-2
15,Fluid Cap (2),23981640,23981640
60,Inlet Manifold (1),23981681,23981681
61,Outlet Manifold (1),23981723,23981723
43,Ground Lug (1) FLUID PX01X-HES Item Description Part no Qty,93004,93004
6,Diaphragm Screw (2),93810,93810-2
15,Fluid Cap (2),23981640,23981640
60,Inlet Manifold (1),47516487001,47516487001
61,Outlet Manifold (1),47516490001,47516490001
43,Ground Lug (1),93004,93004
63,"Pipe Plug 93832-2 (4) SEAT OPTIONS PX01X-XXX-XXX-AXXX “21” “22” (5/8” OD) -XXX Seat Qty -XXX Ball -DXX 96580-2 (4) -XAX 96481-A -KXX 96580-3 (4) -XCX 96481-C -PXX 96580-1 (4) -XGX 96481-G -HPS-0XX 96745 (4) -XTX 96481-4 -HKS-2XX 96745-1 (4) -HDS-1XX 96745-2 (4) DIAPHRAGM OPTIONS ""3"" ""7"" -XXX ""O"" Ring Qty Mtl Diaphragm Qty Mtl Seal -XXA - - - - - - - - - - - 93808 (2) 93761 -XXC - - - - - - - - - - - 93808-C (2) -XXG - - - - - - - - - - - 93808-G (2) -XXT Y327-108 (2) 93898 (2) Note: Item (19) O-ring is not used with Flex Check Options. PX01X-XXX-XXX-AXXX (en) PX01X-XXX-XXX-AXXX / s) e c a y) pl nl",93832,96514
4,"o s, s el el d d o o m m k E c F e T h P c (",1,
6,e fl r,1,o
1,(,1,f
5,y) E nl F o T P s (,1,el
3,d o,1,m
2,   ,1,
